src_ip,bin,mbits_per_bin,pkts_per_bin
250.121.122.229,1428745323,0.012,1
71.101.58.158,1428745323,0.024,2
175.96.118.182,1428745323,0.012,1
75.231.166.197,1428745323,0.00656,1
71.209.102.180,1428745323,0.012,1
46.221.151.174,1428745323,0.012,1
51.89.43.190,1428745323,0.30112,26
218.184.250.123,1428745323,0.81504,72
59.237.90.191,1428745323,0.072,6
58.81.46.188,1428745323,0.012,1
94.97.235.235,1428745323,0.37968,33
91.95.169.189,1428745323,0.24112,21
35.83.174.166,1428745323,0.048,4
58.109.101.222,1428745323,0.012,1
90.101.150.246,1428745323,0.19968,18
46.87.105.222,1428745323,0.024,2
46.249.234.132,1428745323,0.07312,7
191.202.47.142,1428745323,0.036,3
94.225.237.221,1428745323,0.06656,6
63.101.153.140,1428745323,0.121952,11
119.249.189.245,1428745323,0.81712,69
243.112.122.148,1428745323,0.012,1
231.94.30.158,1428745323,0.30112,26
202.74.58.229,1428745323,0.00656,1
214.64.111.158,1428745323,0.27168,24
195.224.93.229,1428745323,0.07312,7
162.200.43.238,1428745323,0.08512,8
51.89.58.252,1428745323,0.204,17
202.74.58.229,1428745324,0.01856,2
175.96.118.182,1428745324,0.01312,2
250.121.122.229,1428745324,0.012,1
46.249.234.132,1428745324,0.06656,6
63.101.153.140,1428745324,0.06656,6
231.94.30.158,1428745324,0.25536,24
59.237.90.191,1428745324,0.07312,7
43.105.90.215,1428745324,0.012,1
91.95.169.189,1428745324,0.15712,14
51.89.58.252,1428745324,0.12768,12
51.89.43.190,1428745324,0.24112,21
218.184.250.123,1428745324,0.64592,57
207.244.233.214,1428745324,0.012,1
94.97.235.235,1428745324,0.33824,30
58.81.46.188,1428745324,0.012,1
35.191.250.244,1428745324,0.012,1
35.83.174.166,1428745324,0.024,2
46.221.151.174,1428745324,0.024,2
119.249.189.245,1428745324,0.6808,59
195.224.93.229,1428745324,0.072,6
226.197.173.124,1428745324,0.012,1
94.225.237.221,1428745324,0.08512,8
191.202.47.142,1428745324,0.01856,2
231.98.21.134,1428745324,0.06656,6
162.200.43.238,1428745324,0.06,5
71.101.58.158,1428745324,0.036,3
90.101.150.246,1428745324,0.09168,9
214.64.111.158,1428745324,0.18768,17
199.68.58.174,1428745324,0.00656,1
74.211.167.246,1428745324,0.012,1
46.249.234.132,1428745325,0.072,6
46.87.105.222,1428745325,0.012,1
94.225.237.221,1428745325,0.03056,3
51.89.58.252,1428745325,0.09056,8
58.109.101.222,1428745325,0.012,1
231.98.21.134,1428745325,0.01856,2
82.79.58.239,1428745325,0.012,1
250.121.122.229,1428745325,0.012,1
191.202.47.142,1428745325,0.036,3
202.74.58.229,1428745325,0.00656,1
211.98.26.124,1428745325,0.012,1
218.184.250.123,1428745325,0.32416,32
63.101.153.140,1428745325,0.100512,9
195.224.93.229,1428745325,0.024,2
214.64.111.158,1428745325,0.11456,10
94.97.235.235,1428745325,0.18224,17
51.89.43.190,1428745325,0.10912,10
162.200.43.238,1428745325,0.024,2
231.94.30.158,1428745325,0.11456,10
119.249.189.245,1428745325,0.37856,32
71.209.102.180,1428745325,0.012,1
59.237.90.191,1428745325,0.012,1
91.95.169.189,1428745325,0.11456,10
90.101.150.246,1428745325,0.036,3
34.77.223.147,1428745326,0.012,1
163.98.230.228,1428745326,0.024,2
191.202.47.142,1428745326,0.07856,7
35.83.174.166,1428745326,0.096,8
46.87.105.222,1428745326,0.024,2
175.96.118.182,1428745326,0.036,3
43.105.90.215,1428745326,0.012,1
218.184.250.123,1428745326,1.87568,169
203.196.174.212,1428745326,0.01856,2
167.244.221.196,1428745326,0.024,2
66.89.21.143,1428745326,0.15168,14
51.89.43.190,1428745326,0.67104,60
119.249.189.245,1428745326,1.81104,155
94.97.235.235,1428745326,0.96016,85
71.197.41.204,1428745326,0.012,1
94.225.237.221,1428745326,0.20512,18
82.79.58.239,1428745326,0.012,1
95.79.154.181,1428745326,0.12112,11
250.121.122.229,1428745326,0.024,2
90.101.150.246,1428745326,0.45712,39
78.211.234.207,1428745326,0.024,2
51.89.58.252,1428745326,0.46816,44
202.74.58.229,1428745326,0.05456,5
71.209.102.180,1428745326,0.06656,6
59.237.90.191,1428745326,0.10912,10
63.101.153.140,1428745326,0.299744,27
231.94.30.158,1428745326,0.64384,60
71.101.58.158,1428745326,0.084,7
91.95.169.189,1428745326,0.62848,56
58.109.101.222,1428745326,0.09712,9
226.197.173.124,1428745326,0.096,8
46.249.234.132,1428745326,0.23024,21
231.98.21.134,1428745326,0.07856,7
162.200.43.238,1428745326,0.19536,19
46.221.151.174,1428745326,0.02512,3
223.201.54.126,1428745326,0.012,1
214.64.111.158,1428745326,0.16256,14
195.224.93.229,1428745326,0.204,17
191.202.47.142,1428745327,0.01856,2
51.89.43.190,1428745327,0.31968,28
95.79.154.181,1428745327,0.048,4
202.74.58.229,1428745327,0.036,3
90.101.150.246,1428745327,0.15168,14
82.79.58.239,1428745327,0.012,1
94.97.235.235,1428745327,0.41792,38
34.77.127.188,1428745327,0.012,1
231.98.21.134,1428745327,0.03056,3
94.225.237.221,1428745327,0.09712,9
119.249.189.245,1428745327,0.9448,81
195.224.93.229,1428745327,0.07312,7
250.121.122.229,1428745327,0.012,1
46.221.151.174,1428745327,0.024,2
75.231.166.197,1428745327,0.00656,1
66.89.21.143,1428745327,0.11024,11
71.101.58.158,1428745327,0.012,1
58.81.46.188,1428745327,0.012,1
218.184.250.123,1428745327,0.88704,78
51.89.58.252,1428745327,0.17568,16
46.87.105.222,1428745327,0.012,1
171.68.185.156,1428745327,0.072,6
231.94.30.158,1428745327,0.30768,27
175.96.118.182,1428745327,0.012,1
58.109.101.222,1428745327,0.012,1
35.83.174.166,1428745327,0.012,1
211.98.26.124,1428745327,0.012,1
63.101.153.140,1428745327,0.021888,2
91.95.169.189,1428745327,0.26512,23
59.237.90.191,1428745327,0.06656,6
162.200.43.238,1428745327,0.10912,10
46.249.234.132,1428745327,0.12224,12
71.101.58.158,1428745328,0.048,4
91.95.169.189,1428745328,0.30768,27
71.197.41.204,1428745328,0.012,1
243.206.190.222,1428745328,0.012,1
226.197.173.124,1428745328,0.024,2
51.89.58.252,1428745328,0.25856,22
218.184.250.123,1428745328,1.01584,91
167.244.221.196,1428745328,0.00656,1
119.249.189.245,1428745328,1.08112,91
66.89.21.143,1428745328,0.21712,19
94.225.237.221,1428745328,0.09712,9
90.101.150.246,1428745328,0.21824,20
78.211.234.207,1428745328,0.012,1
202.74.58.229,1428745328,0.012,1
71.209.102.180,1428745328,0.03712,4
63.101.153.140,1428745328,0.077728,7
58.109.101.222,1428745328,0.01856,2
231.94.30.158,1428745328,0.30448,29
51.89.43.190,1428745328,0.36336,33
46.249.234.132,1428745328,0.10368,10
231.98.21.134,1428745328,0.06,5
46.221.151.174,1428745328,0.024,2
223.201.54.126,1428745328,0.012,1
195.224.93.229,1428745328,0.10256,9
34.77.223.147,1428745328,0.024,2
191.202.47.142,1428745328,0.06656,6
35.83.174.166,1428745328,0.03056,3
175.96.118.182,1428745328,0.00656,1
171.68.185.156,1428745328,0.37536,34
163.98.230.228,1428745328,0.024,2
46.87.105.222,1428745328,0.024,2
162.200.43.238,1428745328,0.15168,14
95.79.154.181,1428745328,0.06656,6
59.237.90.191,1428745328,0.036,3
250.121.122.229,1428745328,0.024,2
94.97.235.235,1428745328,0.5848,51
46.87.105.222,1428745329,0.024,2
34.77.223.147,1428745329,0.012,1
162.200.43.238,1428745329,0.2008,19
218.184.250.123,1428745329,0.97872,87
195.224.93.229,1428745329,0.09712,9
51.89.43.190,1428745329,0.3208,29
231.98.21.134,1428745329,0.03056,3
46.221.151.174,1428745329,0.01856,2
46.249.234.132,1428745329,0.14512,13
95.79.154.181,1428745329,0.10256,9
51.89.58.252,1428745329,0.23024,21
58.103.214.140,1428745329,0.012,1
231.94.30.158,1428745329,0.3928,35
58.109.101.222,1428745329,0.012,1
63.101.153.140,1428745329,0.05584,5
71.209.102.180,1428745329,0.04256,4
226.197.173.124,1428745329,0.036,3
59.237.90.191,1428745329,0.11456,10
74.73.231.166,1428745329,0.00656,1
202.74.58.229,1428745329,0.048,4
82.79.58.239,1428745329,0.00656,1
94.97.235.235,1428745329,0.5008,44
71.101.58.158,1428745329,0.012,1
90.101.150.246,1428745329,0.22368,20
94.225.237.221,1428745329,0.09056,8
66.89.21.143,1428745329,0.156,13
119.249.189.245,1428745329,0.90992,79
171.68.185.156,1428745329,0.31536,29
167.244.221.196,1428745329,0.012,1
175.96.118.182,1428745329,0.03056,3
250.121.122.229,1428745329,0.024,2
35.83.174.166,1428745329,0.012,1
191.202.47.142,1428745329,0.00656,1
91.95.169.189,1428745329,0.2488,23
171.68.185.156,1428745330,0.2608,24
51.89.43.190,1428745330,0.25968,23
51.89.58.252,1428745330,0.14512,13
66.89.21.143,1428745330,0.156,13
202.74.58.229,1428745330,0.01856,2
231.94.30.158,1428745330,0.2248,21
231.98.21.134,1428745330,0.036,3
34.77.223.147,1428745330,0.024,2
35.83.174.166,1428745330,0.012,1
59.237.90.191,1428745330,0.06112,6
71.101.58.158,1428745330,0.012,1
71.197.41.204,1428745330,0.012,1
91.95.169.189,1428745330,0.168,14
94.97.235.235,1428745330,0.35136,32
95.79.154.181,1428745330,0.012,1
162.200.43.238,1428745330,0.12768,12
186.98.107.189,1428745330,0.00656,1
191.202.47.142,1428745330,0.01856,2
195.224.93.229,1428745330,0.072,6
46.221.151.174,1428745330,0.04256,4
46.249.234.132,1428745330,0.11456,10
58.103.214.140,1428745330,0.012,1
58.109.101.222,1428745330,0.01856,2
63.101.153.140,1428745330,0.1224,11
78.211.234.207,1428745330,0.00656,1
90.101.150.246,1428745330,0.16368,15
94.225.237.221,1428745330,0.05568,6
119.249.189.245,1428745330,0.67424,58
167.244.221.196,1428745330,0.012,1
218.184.250.123,1428745330,0.5816,53
226.197.173.124,1428745330,0.01312,2
250.121.122.229,1428745330,0.012,1
59.237.90.191,1428745331,0.048,4
223.201.54.126,1428745331,0.012,1
90.101.150.246,1428745331,0.21824,20
51.89.43.190,1428745331,0.40592,37
95.79.154.181,1428745331,0.048,4
51.89.58.252,1428745331,0.2488,23
91.95.169.189,1428745331,0.30768,27
82.79.58.239,1428745331,0.012,1
34.77.223.147,1428745331,0.012,1
78.211.234.207,1428745331,0.012,1
231.98.21.134,1428745331,0.06,5
74.211.167.246,1428745331,0.012,1
34.77.127.188,1428745331,0.00656,1
71.209.102.180,1428745331,0.03056,3
202.74.58.229,1428745331,0.036,3
191.202.47.142,1428745331,0.01856,2
231.94.30.158,1428745331,0.38192,35
71.101.58.158,1428745331,0.024,2
63.101.153.140,1428745331,0.077728,7
58.109.101.222,1428745331,0.024,2
186.98.107.189,1428745331,0.06112,6
162.200.43.238,1428745331,0.23904,24
171.68.185.156,1428745331,0.3688,33
243.206.190.222,1428745331,0.012,1
243.112.122.148,1428745331,0.012,1
94.97.235.235,1428745331,0.59568,51
71.197.41.204,1428745331,0.012,1
46.221.151.174,1428745331,0.012,1
226.197.173.124,1428745331,0.01856,2
119.249.189.245,1428745331,1.21312,102
250.121.122.229,1428745331,0.024,2
66.89.21.143,1428745331,0.19312,17
195.224.93.229,1428745331,0.10368,10
46.249.234.132,1428745331,0.17024,16
43.105.90.215,1428745331,0.00656,1
35.83.174.166,1428745331,0.048,4
94.225.237.221,1428745331,0.048,4
46.87.105.222,1428745331,0.036,3
218.184.250.123,1428745331,1.14016,100
191.202.47.142,1428745332,0.024,2
35.83.174.166,1428745332,0.036,3
175.96.118.182,1428745332,0.024,2
186.98.107.189,1428745332,0.05456,5
226.197.173.124,1428745332,0.012,1
218.184.250.123,1428745332,1.02784,92
