src_ip,total_packets,packets_fragment_marked,packets_frag_non_marked,num_distinct_sport,num_distinct_dport,pkt_length_avg,pkt_length_min,pkt_length_max,pkt_length_median,pkt_length_std_dev,ttl_avg,ttl_min,ttl_max,ttl_std_dev,CWR,ECE,URG,ACK,PSH,RST,SYN,FIN,mbits_per_bin_avg,pkts_per_bin_avg,asn,bgp_prefix,country,as_info
218.184.250.123,1711,1455,256,377,2,1398.2583284628872,820,1500,1500.0,242.55508429647665,58.0,58,58,0.0,0,0,0,0,0,0,0,0,0.9113980957439968,81.47619047619048,7482,218.184.192.0/18,TW,APOL-ASAsiaPacificOn-lineServiceInc.-TW
119.249.189.245,1692,1585,107,524,2,1456.9976359338061,820,1500,1500.0,165.50650817937802,57.06382978723404,57,59,0.3515470562098584,0,0,0,0,0,0,0,0,0.9391390525159382,80.57142857142857,4837,119.248.0.0/14,CN,CHINA169-BACKBONECNCGROUPChina169Backbone-CN
94.97.235.235,1320,1145,175,231,2,1409.8484848484848,820,1500,1500.0,230.59864400927566,55.165151515151514,55,57,0.5504797974006461,0,0,0,0,0,0,0,0,0.7089523822069168,62.857142857142854,25019,94.97.0.0/16,SA,SAUDINETSTC-ASSaudiTelecomCompanyJSC-SA
51.89.43.190,612,527,85,116,2,1405.5555555555557,820,1500,1500.0,235.16477018423112,122.0,122,122,0.0,0,0,0,0,0,0,0,0,0.3276952391579038,29.142857142857142,NA,NA,GB,NA
231.94.30.158,562,458,104,87,2,1374.1637010676156,820,1500,1500.0,264.0717878627346,122.91992882562278,122,123,0.27140335556522033,0,0,0,0,0,0,0,0,0.2942019087218103,26.761904761904763,NA,NA,,NA
91.95.169.189,534,465,69,103,2,1412.1348314606741,820,1500,1500.0,228.09652948762152,56.0,56,56,0.0,0,0,0,0,0,0,0,0,0.28726857368435177,25.428571428571427,3292,91.95.0.0/16,SE,TDCTDCA/S-DK
171.68.185.156,442,367,75,61,2,1384.6153846153845,820,1500,1500.0,255.24092343133984,56.0,56,56,0.0,0,0,0,0,0,0,0,0,0.28800000206512566,26.0,109,171.68.0.0/14,US,CISCOSYSTEMS-CiscoSystems-Inc.-US
51.89.58.252,388,336,52,77,2,1408.8659793814434,820,1500,1500.0,231.65863745285853,123.0,123,123,0.0,0,0,0,0,0,0,0,0,0.2082438085760389,18.476190476190474,NA,NA,GB,NA
90.101.150.246,357,303,54,60,2,1397.142857142857,820,1500,1500.0,243.64577834660423,122.0,122,122,0.0,0,0,0,0,0,0,0,0,0.19001142804821333,17.0,NA,NA,FR,NA
162.200.43.238,338,241,97,25,2,1304.8520710059172,820,1500,1500.0,307.6001910358587,58.9112426035503,58,60,0.9960532739645088,0,0,0,0,0,0,0,0,0.16801523860721362,16.095238095238095,7018,162.192.0.0/12,US,ATT-INTERNET4-AT&TServices-Inc.-US
