File Name,Folder,Start(CET),Duration[s],Peak[Mb/s],Protocol,Src Port(s),Dst Port(s),Src IPs,IPs Fragmented,Flags
ANON-GHPGET-S-01,TrafficAnalysis_ANON-GHPGET-S-01_2014-12-29_08_56_27.txt/,1419843388,297,0.007632,UDP,53:DNS+,MANY,1,0,
ANON-GHPGET-S-02,TrafficAnalysis_ANON-GHPGET-S-02_2014-12-29_10_45_10.txt/,1419849911,298,3.472656,UDP,123:NTP+SOME,80:HTTP+MANY,2,0,
ANON-GHPHEAD-S-01,TrafficAnalysis_ANON-GHPHEAD-S-01_2014-12-29_09_20_00.txt/,1419844801,297,0.032424,UDP,53:DNS+SOME,MANY,2,0,
ANON-GHPHEAD-S-02,TrafficAnalysis_ANON-GHPHEAD-S-02_2014-12-29_10_57_26.txt/,1419850647,298,0.008256,UDP,53:DNS+,MANY,2,0,
ANON-GHPPOST-S-01,TrafficAnalysis_ANON-GHPPOST-S-01_2014-12-29_10_01_26.txt/,1419847287,297,0.010672,UDP,53:DNS+SOME,MANY,3,0,
ANON-GHPPOST-S-02,TrafficAnalysis_ANON-GHPPOST-S-02_2014-12-29_11_28_49.txt/,1419852530,298,0.012416,UDP,53:DNS+SOME,MANY,3,0,
ANON-NTP-S-01,TrafficAnalysis_ANON-NTP-S-01_2014-12-22_15_23_41.txt/,1419261822,298,0.008336,UDP,53:DNS+,MANY,1,0,
ANON-NTP-S-02,TrafficAnalysis_ANON-NTP-S-02_2014-12-23_23_01_20.txt/,1419375681,297,636.5405,UDP,123:NTP+MANY,80:HTTP+MANY,1643,0,
ANON-SLOW-S-01,TrafficAnalysis_ANON-SLOW-S-01_2014-12-29_09_27_17.txt/,1419845238,298,0.032512,UDP,53:DNS+,MANY,1,0,
ANON-SLOW-S-02,TrafficAnalysis_ANON-SLOW-S-02_2014-12-29_11_11_43.txt/,1419851504,298,0.008336,UDP,53:DNS+,MANY,2,0,
ANON-SRCGET-S-01,TrafficAnalysis_ANON-SRCGET-S-01_2014-12-29_09_46_11.txt/,1419846372,297,0.007568,UDP,53:DNS+,MANY,1,0,
ANON-SRCGET-S-02,TrafficAnalysis_ANON-SRCGET-S-02_2015-04-06_09%3A53%3A00.txt/,1428313980,298,0.020784,UDP,53:DNS+,MANY,1,0,
ANON-SRCHEAD-S-01,TrafficAnalysis_ANON-SRCHEAD-S-01_2014-12-29_10_17_19.txt/,1419848240,297,0.007568,UDP,53:DNS+,MANY,1,0,
