timestamp,mbits_per_bin,pkts_per_bin
1428745323,4.251552,371
1428745324,3.44032,308
1428745325,1.860512,167
1428745326,10.105504,899
1428745327,4.425568,393
1428745328,5.839808,518
1428745329,5.42992,486
1428745330,3.8072,343
1428745331,6.310048,559
1428745332,6.160096,548
1428745333,2.32832,204
1428745334,9.033792,806
1428745335,5.978688,532
1428745336,2.18,193
1428745337,3.417216,309
1428745338,10.934048,970
1428745339,6.400352,569
1428745340,5.901904,525
1428745341,5.821696,522
1428745342,5.655808,508
1428745343,3.054592,270
