Start,Folder,File_name,Duration[s],Peak[Mb/s],Protocol,Src_Ports,Dst_Ports,Src_IPs,IPs_Fragmented,Flags
1416411177,TrafficAnalysis_prod-anon-051.txt/,prod-anon-051,0,0.463736,UDP,53:DNS+25701:unknown+12890:unknown+,18762:unknown+31338:unknown+MANY,35,28,
1417606735,TrafficAnalysis_prod-anon-010.txt/,prod-anon-010,15,2.90408,UDP,1900:SSDP+,80:HTTP+,2640,1,
1418928875,TrafficAnalysis_prod-anon-024.txt/,prod-anon-024,14,0.36256,TCP,MANY,SOME,61,1,CWR(61)URG(28)ACK(61)PSH(61)RST(61)SYN(61)FIN(33)
1418929834,TrafficAnalysis_prod-anon-020.txt/,prod-anon-020,539,7.04E-4,TCP,MANY,SOME,350,1,CWR(28)ECE(28)ACK(349)PSH(312)RST(40)SYN(316)FIN(314)
1418931638,TrafficAnalysis_prod-anon-025.txt/,prod-anon-025,0,0.73056,UDP,30070:unknown+MANY,30584:unknown+MANY,84,41,
1418931826,TrafficAnalysis_prod-anon-026.txt/,prod-anon-026,20,1.649888,UDP,1900:SSDP+SOME,1900:SSDP+,4851,1,
1418932457,TrafficAnalysis_prod-anon-022.txt/,prod-anon-022,9,0.363648,TCP,MANY,SOME,9649,1,ACK(9707)PSH(9)SYN(7)FIN(9)
1419000434,TrafficAnalysis_prod-anon-018.txt/,prod-anon-018,10,0.366944,TCP,MANY,SOME,9805,1,CWR(2)ACK(206)PSH(5)RST(9671)FIN(205)
1419000471,TrafficAnalysis_prod-anon-027.txt/,prod-anon-027,171,3.802368,UDP,123:NTP+MANY,80:HTTP+SOME,13,1,
1419000874,TrafficAnalysis_prod-anon-019.txt/,prod-anon-019,114,8.32E-4,TCP,MANY,SOME,788,1,CWR(63)ECE(63)ACK(783)PSH(679)RST(60)SYN(688)FIN(659)
1419001317,TrafficAnalysis_prod-anon-028.txt/,prod-anon-028,12,3.87504,UDP,123:NTP+,80:HTTP+,3,1,
1419034516,TrafficAnalysis_prod-anon-023.txt/,prod-anon-023,605,9.28E-4,TCP,MANY,SOME,534,1,CWR(2)ECE(2)SYN(534)
1419063001,TrafficAnalysis_prod-anon-021.txt/,prod-anon-021,21,0.450944,TCP,SOME,SOME,3,1,ACK(3)PSH(1)SYN(1)FIN(1)
1419104545,TrafficAnalysis_ANON-SSYN-S-02_2014-12-20_19_41_22.txt/,ANON-SSYN-S-02,235,45.3386,TCP,MANY,SOME,1793249,1,CWR(7)ECE(12)ACK(6709)PSH(2)RST(60217)SYN(1793208)FIN(45)
1419104902,TrafficAnalysis_ANON-UDPLAG-S-01_2014-12-20_19_48_21.txt/,ANON-UDPLAG-S-01,298,354.29944,UDP,53:DNS+MANY,MANY,88,1,
1419105308,TrafficAnalysis_ANON-UDP-S-01_2014-12-20_19_55_07.txt/,ANON-UDP-S-01,297,580.63226,UDP,53:DNS+SOME,MANY,1250,1,
1419105865,TrafficAnalysis_ANON-SSYN-S-01_2014-12-20_20_04_11.txt/,ANON-SSYN-S-01,261,48.146793,TCP,MANY,SOME,1855573,1,CWR(10)ECE(9)ACK(9616)PSH(1)RST(86678)SYN(1855501)FIN(59)
1419106266,TrafficAnalysis_CONS-UDP-S-01_2014-12-20_20_11_05.txt/,CONS-UDP-S-01,299,97.17243,UDP,53:DNS+MANY,MANY,74,1,
1419106638,TrafficAnalysis_CONS-SSYN-S-01_2014-12-20_20_17_05.txt/,CONS-SSYN-S-01,285,42.907646,TCP,MANY,SOME,749778,1,CWR(5)ECE(5)ACK(3474)RST(26430)SYN(749757)FIN(15)
1419107015,TrafficAnalysis_CONS-UDPLAG-S-01_2014-12-20_20_23_34.txt/,CONS-UDPLAG-S-01,297,11.797344,UDP,53:DNS+MANY,MANY,17,16,
1419108297,TrafficAnalysis_KRYPT-DNS-S-01_2014-12-20_20_44_56.txt/,KRYPT-DNS-S-01,297,451.29382,UDP,19:CharGen+MANY,13290:unknown+MANY,263,1,
1419108710,TrafficAnalysis_KRYPT-SSYN-S-01_2014-12-20_20_51_41.txt/,KRYPT-SSYN-S-01,285,33.407585,TCP,MANY,SOME,1324346,1,CWR(7)ECE(15)ACK(7418)RST(66414)SYN(1324283)FIN(41)
1419190717,TrafficAnalysis_IPSTR-SYN-S-01_2014-12-21_19_38_21.txt/,IPSTR-SYN-S-01,35,61.828114,TCP,SOME,SOME,25,1,SYN(27)
1419191547,TrafficAnalysis_IPSTR-UDP-S-01_2014-12-21_19_52_26.txt/,IPSTR-UDP-S-01,298,373.3896,UDP,1900:SSDP+MANY,80:HTTP+MANY,57226,1,
1419191973,TrafficAnalysis_IPSTR-UDPLAG-S-01_2014-12-21_19_59_32.txt/,IPSTR-UDPLAG-S-01,298,21.904655,UDP,80:HTTP+SOME,80:HTTP+MANY,28,1,
1419192776,TrafficAnalysis_ANON-UDP-S-02_2014-12-21_20_12_55.txt/,ANON-UDP-S-02,297,0.008608,UDP,53:DNS+,MANY,3,1,
1419193111,TrafficAnalysis_ANON-UDPLAG-S-02_2014-12-21_20_18_30.txt/,ANON-UDPLAG-S-02,298,0.010968,UDP,53:DNS+SOME,MANY,4,1,
1419193522,TrafficAnalysis_IPSTR-SYN-S-02_2014-12-21_20_25_15.txt/,IPSTR-SYN-S-02,220,68.8853,TCP,SOME,MANY,25,1,RST(3)SYN(24)
1419193850,TrafficAnalysis_IPSTR-UDP-S-02_2014-12-21_20_30_49.txt/,IPSTR-UDP-S-02,298,429.1959,UDP,1900:SSDP+MANY,80:HTTP+MANY,63632,1,
1419194770,TrafficAnalysis_IPSTR-UDPLAG-S-02_2014-12-21_20_46_09.txt/,IPSTR-UDPLAG-S-02,298,21.221647,UDP,80:HTTP+SOME,80:HTTP+MANY,23,1,
1419195860,TrafficAnalysis_KRYPT-SSYN-S-02_2014-12-21_21_04_11.txt/,KRYPT-SSYN-S-02,280,44.19984,TCP,MANY,MANY,1259251,1,CWR(13)ECE(8)ACK(8661)PSH(2)RST(77935)SYN(1259166)FIN(56)
1419196333,TrafficAnalysis_KRYPT-DNS-S-02_2014-12-21_21_12_12.txt/,KRYPT-DNS-S-02,298,445.87625,UDP,19:CharGen+SOME,36569:unknown+MANY,266,1,
1419242739,TrafficAnalysis_REST-DNS-S-01_2014-12-22_10_05_38.txt/,REST-DNS-S-01,299,1826.0912,UDP,53:DNS+SOME,MANY,2089,1,
1419243170,TrafficAnalysis_REST-NTP-S-01_2014-12-22_10_12_49.txt/,REST-NTP-S-01,298,415.78506,UDP,123:NTP+MANY,80:HTTP+MANY,1801,1,
1419243571,TrafficAnalysis_REST-UDP-S-01_2014-12-22_10_19_30.txt/,REST-UDP-S-01,298,1025.7607,UDP,53:DNS+SOME,MANY,2067,1,
1419243992,TrafficAnalysis_REST-UDPLAG-S-01_2014-12-22_10_26_31.txt/,REST-UDPLAG-S-01,298,84.746315,UDP,53:DNS+MANY,MANY,89,1,
1419261822,TrafficAnalysis_ANON-NTP-S-01_2014-12-22_15_23_41.txt/,ANON-NTP-S-01,298,0.008336,UDP,53:DNS+,MANY,1,1,
1419262184,TrafficAnalysis_CONS-SSYN-S-02_2014-12-22_15_29_38.txt/,CONS-SSYN-S-02,287,43.84144,TCP,MANY,SOME,741641,1,CWR(4)ECE(2)ACK(3195)RST(24726)SYN(741642)FIN(15)
1419262722,TrafficAnalysis_IPSTR-DNS-S-01_2014-12-22_15_38_41.txt/,IPSTR-DNS-S-01,298,118.047455,UDP,53:DNS+SOME,80:HTTP+MANY,83,1,
1419263103,TrafficAnalysis_CONS-NTP-S-01_2014-12-22_15_45_02.txt/,CONS-NTP-S-01,298,420.65024,UDP,123:NTP+SOME,MANY,1197,1,
1419263497,TrafficAnalysis_CONS-SSDP-S-01_2014-12-22_15_51_36.txt/,CONS-SSDP-S-01,298,316.24255,UDP,1900:SSDP+MANY,MANY,35243,1,
1419263878,TrafficAnalysis_REST-SSYN-S-01_2014-12-22_15_57_50.txt/,REST-SSYN-S-01,291,40.876335,TCP,MANY,SOME,1597040,1,CWR(2)ECE(5)ACK(3882)RST(35088)SYN(1597030)FIN(25)
1419264234,TrafficAnalysis_IPSTR-CHARGEN-S-01_2014-12-22_16_03_53.txt/,IPSTR-CHARGEN-S-01,297,576.3067,UDP,19:CharGen+MANY,MANY,1552,1,
1419264605,TrafficAnalysis_REST-XSSYN-S-01_2014-12-22_16_09_59.txt/,REST-XSSYN-S-01,291,42.072792,TCP,MANY,SOME,1668762,1,CWR(4)ECE(3)ACK(4523)RST(41710)SYN(1668722)FIN(26)
1419265089,TrafficAnalysis_KRYPT-CHARGEN-S-01_2014-12-22_16_18_09.txt/,KRYPT-CHARGEN-S-01,299,390.2358,UDP,19:CharGen+MANY,51096:unknown+MANY,274,1,
1419265437,TrafficAnalysis_KRYPT-ESSYN-S-01_2014-12-22_16_23_50.txt/,KRYPT-ESSYN-S-01,271,31.498304,TCP,MANY,SOME,1174759,1,CWR(6)ECE(5)ACK(6702)PSH(1)RST(61129)SYN(1174712)FIN(41)
1419265807,TrafficAnalysis_KRYPT-SSDP-S-01_2014-12-22_16_30_06.txt/,KRYPT-SSDP-S-01,298,316.9679,UDP,19:CharGen+MANY,38927:unknown+MANY,277,1,
1419286272,TrafficAnalysis_TITAN-UDP-S-01_2014-12-22_22_11_11.txt/,TITAN-UDP-S-01,299,331.16583,UDP,53:DNS+,MANY,91,1,
1419286663,TrafficAnalysis_IPSTR-SSDP-S-01_2014-12-22_22_17_42.txt/,IPSTR-SSDP-S-01,298,342.65152,UDP,1900:SSDP+MANY,MANY,45449,1,
